,base,snap,calc,ex_en,osc
0,/home/share/wesolowski/NR_CGE_HUJI,250,5_Angstroms/emb1,3.49323,2.492681
1,/home/share/wesolowski/NR_CGE_HUJI,251,5_Angstroms/emb1,3.513703,2.546396
2,/home/share/wesolowski/NR_CGE_HUJI,252,5_Angstroms/emb1,3.653803,2.604105
3,/home/share/wesolowski/NR_CGE_HUJI,253,5_Angstroms/emb1,3.578282,2.576999
4,/home/share/wesolowski/NR_CGE_HUJI,254,5_Angstroms/emb1,3.253524,2.691593
5,/home/share/wesolowski/NR_CGE_HUJI,255,5_Angstroms/emb1,3.78937,2.440393
6,/home/share/wesolowski/NR_CGE_HUJI,256,5_Angstroms/emb1,3.41407,2.5526
7,/home/share/wesolowski/NR_CGE_HUJI,257,5_Angstroms/emb1,3.259333,2.442478
8,/home/share/wesolowski/NR_CGE_HUJI,258,5_Angstroms/emb1,3.42161,2.601594
9,/home/share/wesolowski/NR_CGE_HUJI,259,5_Angstroms/emb1,3.888687,2.454647
10,/home/share/wesolowski/NR_CGE_HUJI,260,5_Angstroms/emb1,3.33331,2.526825
11,/home/share/wesolowski/NR_CGE_HUJI,261,5_Angstroms/emb1,3.621911,2.488674
12,/home/share/wesolowski/NR_CGE_HUJI,262,5_Angstroms/emb1,3.419771,2.618134
13,/home/share/wesolowski/NR_CGE_HUJI,263,5_Angstroms/emb1,3.659936,2.647252
14,/home/share/wesolowski/NR_CGE_HUJI,264,5_Angstroms/emb1,3.520804,2.432751
15,/home/share/wesolowski/NR_CGE_HUJI,265,5_Angstroms/emb1,3.654022,2.660994
16,/home/share/wesolowski/NR_CGE_HUJI,266,5_Angstroms/emb1,3.413193,2.576972
17,/home/share/wesolowski/NR_CGE_HUJI,267,5_Angstroms/emb1,3.246926,2.635302
18,/home/share/wesolowski/NR_CGE_HUJI,268,5_Angstroms/emb1,3.51128,2.573163
19,/home/share/wesolowski/NR_CGE_HUJI,269,5_Angstroms/emb1,3.366183,2.493951
20,/home/share/wesolowski/NR_CGE_HUJI,270,5_Angstroms/emb1,3.126383,2.595419
21,/home/share/wesolowski/NR_CGE_HUJI,271,5_Angstroms/emb1,3.369872,2.572805
22,/home/share/wesolowski/NR_CGE_HUJI,272,5_Angstroms/emb1,3.408091,2.607527
23,/home/share/wesolowski/NR_CGE_HUJI,273,5_Angstroms/emb1,3.384293,2.413284
24,/home/share/wesolowski/NR_CGE_HUJI,274,5_Angstroms/emb1,3.633091,2.523056
25,/home/share/wesolowski/NR_CGE_HUJI,275,5_Angstroms/emb1,3.37831,2.590517
26,/home/share/wesolowski/NR_CGE_HUJI,276,5_Angstroms/emb1,3.383412,2.645088
27,/home/share/wesolowski/NR_CGE_HUJI,277,5_Angstroms/emb1,3.116429,2.550327
28,/home/share/wesolowski/NR_CGE_HUJI,278,5_Angstroms/emb1,3.511742,2.672524
29,/home/share/wesolowski/NR_CGE_HUJI,279,5_Angstroms/emb1,3.664198,2.515509
30,/home/share/wesolowski/NR_CGE_HUJI,280,5_Angstroms/emb1,3.578129,2.592862
31,/home/share/wesolowski/NR_CGE_HUJI,281,5_Angstroms/emb1,3.431572,2.525387
32,/home/share/wesolowski/NR_CGE_HUJI,282,5_Angstroms/emb1,3.394705,2.635015
33,/home/share/wesolowski/NR_CGE_HUJI,283,5_Angstroms/emb1,3.391952,2.58513
34,/home/share/wesolowski/NR_CGE_HUJI,284,5_Angstroms/emb1,3.319588,2.543978
35,/home/share/wesolowski/NR_CGE_HUJI,285,5_Angstroms/emb1,3.203712,2.521089
36,/home/share/wesolowski/NR_CGE_HUJI,286,5_Angstroms/emb1,3.43905,2.681245
37,/home/share/wesolowski/NR_CGE_HUJI,287,5_Angstroms/emb1,3.225426,2.527378
38,/home/share/wesolowski/NR_CGE_HUJI,288,5_Angstroms/emb1,3.339987,2.551875
39,/home/share/wesolowski/NR_CGE_HUJI,289,5_Angstroms/emb1,3.566279,2.505516
40,/home/share/wesolowski/NR_CGE_HUJI,290,5_Angstroms/emb1,3.354752,2.47922
41,/home/share/wesolowski/NR_CGE_HUJI,291,5_Angstroms/emb1,3.204413,2.447195
42,/home/share/wesolowski/NR_CGE_HUJI,292,5_Angstroms/emb1,3.558983,2.537848
43,/home/share/wesolowski/NR_CGE_HUJI,293,5_Angstroms/emb1,3.234529,2.548324
44,/home/share/wesolowski/NR_CGE_HUJI,294,5_Angstroms/emb1,3.557547,2.502905
45,/home/share/wesolowski/NR_CGE_HUJI,295,5_Angstroms/emb1,3.435756,2.475365
46,/home/share/wesolowski/NR_CGE_HUJI,296,5_Angstroms/emb1,3.168619,2.569898
47,/home/share/wesolowski/NR_CGE_HUJI,297,5_Angstroms/emb1,3.146526,2.582691
48,/home/share/wesolowski/NR_CGE_HUJI,298,5_Angstroms/emb1,3.311093,2.554125
49,/home/share/wesolowski/NR_CGE_HUJI,299,5_Angstroms/emb1,3.399974,2.577205
50,/home/share/wesolowski/NR_CGE_HUJI,300,5_Angstroms/emb1,3.657144,2.592707
51,/home/share/wesolowski/NR_CGE_HUJI,301,5_Angstroms/emb1,3.44046,2.53439
52,/home/share/wesolowski/NR_CGE_HUJI,302,5_Angstroms/emb1,3.259704,2.601291
53,/home/share/wesolowski/NR_CGE_HUJI,303,5_Angstroms/emb1,3.345495,2.592956
54,/home/share/wesolowski/NR_CGE_HUJI,304,5_Angstroms/emb1,3.435538,2.60313
55,/home/share/wesolowski/NR_CGE_HUJI,305,5_Angstroms/emb1,3.415214,2.679835
56,/home/share/wesolowski/NR_CGE_HUJI,306,5_Angstroms/emb1,3.500905,2.531455
57,/home/share/wesolowski/NR_CGE_HUJI,307,5_Angstroms/emb1,3.162302,2.661572
58,/home/share/wesolowski/NR_CGE_HUJI,308,5_Angstroms/emb1,3.209078,2.698176
59,/home/share/wesolowski/NR_CGE_HUJI,309,5_Angstroms/emb1,3.333659,2.567089
60,/home/share/wesolowski/NR_CGE_HUJI,310,5_Angstroms/emb1,3.385857,2.608012
