,base,snap,calc,SCF,ex_en,osc
0,/home/share/wesolowski/NR_CGE_HUJI,250,iso1,-985.10515004,3.045508,2.35629
1,/home/share/wesolowski/NR_CGE_HUJI,251,iso1,-985.12766387,3.037547,2.414734
2,/home/share/wesolowski/NR_CGE_HUJI,252,iso1,-985.11804391,3.185237,2.419975
3,/home/share/wesolowski/NR_CGE_HUJI,253,iso1,-985.13327251,3.13028,2.42584
4,/home/share/wesolowski/NR_CGE_HUJI,254,iso1,-985.12893153,2.951061,2.620759
5,/home/share/wesolowski/NR_CGE_HUJI,255,iso1,-985.14099081,3.343931,2.240585
6,/home/share/wesolowski/NR_CGE_HUJI,256,iso1,-985.12129817,3.013764,2.440868
7,/home/share/wesolowski/NR_CGE_HUJI,257,iso1,-985.12365115,2.949067,2.400056
8,/home/share/wesolowski/NR_CGE_HUJI,258,iso1,-985.11305518,3.021333,2.460654
9,/home/share/wesolowski/NR_CGE_HUJI,259,iso1,-985.13009133,3.281812,2.069138
10,/home/share/wesolowski/NR_CGE_HUJI,260,iso1,-985.12728033,2.9709,2.425168
11,/home/share/wesolowski/NR_CGE_HUJI,261,iso1,-985.13891212,3.102836,2.272513
12,/home/share/wesolowski/NR_CGE_HUJI,262,iso1,-985.11577619,2.972236,2.456698
13,/home/share/wesolowski/NR_CGE_HUJI,263,iso1,-985.10789234,3.166501,2.454281
14,/home/share/wesolowski/NR_CGE_HUJI,264,iso1,-985.12670225,3.13275,2.323968
15,/home/share/wesolowski/NR_CGE_HUJI,265,iso1,-985.12095952,3.207059,2.487373
16,/home/share/wesolowski/NR_CGE_HUJI,266,iso1,-985.11710787,3.019773,2.457888
17,/home/share/wesolowski/NR_CGE_HUJI,267,iso1,-985.10776051,2.913636,2.558202
18,/home/share/wesolowski/NR_CGE_HUJI,268,iso1,-985.1169294,3.051861,2.422054
19,/home/share/wesolowski/NR_CGE_HUJI,269,iso1,-985.11989804,2.936376,2.358395
20,/home/share/wesolowski/NR_CGE_HUJI,270,iso1,-985.10613923,2.809224,2.493153
21,/home/share/wesolowski/NR_CGE_HUJI,271,iso1,-985.10941573,2.959375,2.431023
22,/home/share/wesolowski/NR_CGE_HUJI,272,iso1,-985.11974794,3.029255,2.488832
23,/home/share/wesolowski/NR_CGE_HUJI,273,iso1,-985.10964295,3.003102,2.335033
24,/home/share/wesolowski/NR_CGE_HUJI,274,iso1,-985.10941367,3.091415,2.322759
25,/home/share/wesolowski/NR_CGE_HUJI,275,iso1,-985.11572135,3.012322,2.485855
26,/home/share/wesolowski/NR_CGE_HUJI,276,iso1,-985.11697683,2.971603,2.481787
27,/home/share/wesolowski/NR_CGE_HUJI,277,iso1,-985.12268309,2.906262,2.468904
28,/home/share/wesolowski/NR_CGE_HUJI,278,iso1,-985.1415231,3.051322,2.480527
29,/home/share/wesolowski/NR_CGE_HUJI,279,iso1,-985.12839021,3.231186,2.350874
30,/home/share/wesolowski/NR_CGE_HUJI,280,iso1,-985.12322584,3.060234,2.39414
31,/home/share/wesolowski/NR_CGE_HUJI,281,iso1,-985.12009828,2.992572,2.389226
32,/home/share/wesolowski/NR_CGE_HUJI,282,iso1,-985.14855293,3.076682,2.525086
33,/home/share/wesolowski/NR_CGE_HUJI,283,iso1,-985.13959296,3.011614,2.470566
34,/home/share/wesolowski/NR_CGE_HUJI,284,iso1,-985.13273882,2.962367,2.414744
35,/home/share/wesolowski/NR_CGE_HUJI,285,iso1,-985.12583989,2.903919,2.441708
36,/home/share/wesolowski/NR_CGE_HUJI,286,iso1,-985.14486953,3.014423,2.506351
37,/home/share/wesolowski/NR_CGE_HUJI,287,iso1,-985.13431988,2.847383,2.436008
38,/home/share/wesolowski/NR_CGE_HUJI,288,iso1,-985.16243753,3.007209,2.449498
